Producto, Unidades ,Factura
46977,1,787919
37051,1,924149
39528,1,925740
34566,2,713014
17387,1,715529
17092,1,659842
35237,1,183714
18535,1,396188
24466,1,832224
35048,1,539792
34566,1,684640
41373,2,725273
22499,1,800021
23607,1,392273
17237,1,713879
40280,1,599294
18035,1,701237
17512,1,711655
27156,1,642811
23683,1,724525
25599,1,540041
19418,1,606334
46915,1,540940
34694,1,663568
19698,1,328622
34028,1,724395
36956,1,725910
17259,1,618121
20072,1,684850
17428,1,391936
48666,1,766573
43484,1,818036
37974,1,176707
48214,1,830120
19861,1,735040
17841,1,721073
21540,1,541592
20361,1,685882
19907,1,738018
40068,2,468231
4723,1,728012
47654,1,744671
17377,1,793522
35693,1,724910
20278,1,735633
24471,1,655811
34388,1,541643
34695,1,324250
37159,2,654494
34099,1,810039
17663,1,733462
20752,1,625389
34483,1,712251
47018,1,390868
17808,1,664247
35394,1,616973
34534,1,81204
37583,2,712425
40176,1,745427
47297,1,260765
44813,1,772545
34386,1,467719
17422,1,810604
41794,1,617801
18535,1,21193
44291,1,233702
40298,1,327203
34357,1,766138
34092,1,608756
35221,1,328879
3007,1,731102
35681,1,648926
30213,1,809823
47876,1,666407
35113,1,724773
17131,1,328399
34327,1,659886
47769,1,782662
9073,1,696126
20535,1,396913
34112,1,682108
24104,1,693976
34742,1,243565
34299,1,702975
34742,1,175517
34331,1,322903
30213,1,726005
19813,1,757511
19646,1,778995
34095,1,731177
18715,1,721194
48201,1,710477
20093,1,324121
18164,1,714535
17093,2,392383
34090,1,467490
48443,1,630292
40340,1,698564
47212,1,763435
118,1,638746
37852,1,742077
17694,1,177084
22263,1,781160
30052,1,652167
20231,1,821913
37281,1,321034
40066,1,823072
35365,1,783355
35474,1,638826
28174,1,651640
44790,1,537189
1497,1,755278
19806,1,575138
16894,1,98379
41794,1,464945
21664,1,707297
47948,1,792853
38524,1,668189
34099,1,771131
17208,1,710259
34483,1,618381
35500,1,734659
24145,1,743372
43071,1,540764
20634,1,651731
34099,1,603929
24775,1,184049
40943,1,759479
35969,1,178414
17280,1,810753
34038,1,723810
24329,1,514341
38187,1,795589
20315,1,465404
14627,1,689628
2067,1,469104
35501,1,336552
39253,1,117853
13627,1,335393
43071,1,710668
19837,1,752130
47786,2,832368
37705,1,678008
34728,1,541192
199,1,174886
40411,1,758742
37645,1,787701
48443,2,711655
34483,1,259987
40340,1,674971
34112,1,664738
344,1,669158
2533,1,712627
17138,6,327431
47287,1,177498
24333,1,712354
40363,1,465860
23723,1,573557
38032,1,29734
46991,1,466785
46689,1,541454
39546,1,832594
34696,1,786200
48446,1,544713
17771,1,97677
34742,1,829824
37049,1,542277
19497,1,715834
48161,1,322222
35298,1,710435
47240,1,773114
24325,1,778856
28259,1,800529
34028,1,800635
17662,1,465612
34483,1,178390
41794,1,321965
33227,1,657161
47259,1,603656
21432,1,651626
35370,1,647808
35191,1,357490
20396,1,139414
20072,1,648333
40094,1,926204
35191,1,719475
40785,1,757514
30052,1,660644
37758,1,470061
45715,1,179282
34372,1,322454
34621,1,642855
47340,1,326708
5895,2,583548
46914,2,619310
28174,1,700551
48252,1,711186
17101,1,829810
17377,1,789007
34112,1,540951
42119,1,714743
46893,1,625708
2929,1,299580
37188,1,803380
28220,1,724231
48445,1,759283
34299,1,723263
23290,1,620068
17243,2,723835
45264,1,177137
39599,2,179232
41792,1,98611
17144,1,734242
17093,1,715350
47119,1,686880
199,1,392835
41557,1,715693
17192,1,567474
41559,1,712406
16944,1,81458
16922,1,725532
40596,1,757114
38746,1,798559
39740,1,776279
47783,1,318161
37386,1,786375
43470,1,183774
47949,1,733260
23683,1,81365
44220,1,327352
34098,1,562895
20420,1,749403
37251,1,7125
48249,1,177570
34778,1,925554
5895,1,787672
12408,1,733717
17138,1,742115
34568,1,99189
34061,1,638727
48178,1,832312
43915,1,725060
46926,3,729189
2925,1,924510
2926,1,505437
17387,1,705810
47669,1,733261
34780,1,361365
38167,1,792760
40340,1,467200
37786,1,734250
34719,1,661238
47082,1,610684
34137,1,318802
44992,1,391218
46019,1,581361
47237,1,926530
39626,1,831703
6228,1,362786
17737,1,126325
20315,1,543052
40280,1,646505
19304,1,602289
41794,1,655601
36109,1,706826
34089,1,798096
34560,1,726702
47219,1,327970
24333,1,597745
34386,1,514061
37584,1,233769
20362,1,670725
39597,1,757605
17481,1,618804
34068,1,662756
35400,1,175423
47659,1,668944
23924,1,301280
46817,1,750019
20317,1,733223
18144,1,927207
30213,1,28763
23606,1,623184
34475,1,469789
44315,1,759982
46894,1,618804
34137,1,327069
39599,1,612828
23924,1,544040
17473,2,766397
121,1,647502
46848,1,183922
33291,1,324484
34342,1,318121
47676,1,467629
35370,1,829924
39944,1,624041
20308,1,542280
47306,1,326190
24279,1,739499
17131,1,713879
38160,1,668672
17515,1,328542
24335,1,924197
17439,1,750068
27725,1,657784
34726,1,926934
41548,1,705352
17435,1,802232
37568,1,716896
24111,1,568711
3145,1,713884
38993,1,783635
40650,1,726160
35116,1,796691
34534,1,469504
34560,1,322967
39507,1,681322
35693,1,727290
34778,1,737951
34286,1,794427
34083,1,734990
40288,1,829867
47201,1,724596
40874,1,926076
17120,1,813984
24335,1,324350
6114,1,629648
17358,1,924852
36000,1,623445
35053,1,804309
20079,1,513928
34560,1,30290
23853,1,541008
21458,1,719126
